Membership No  Date Joined  Active  
    78812      2016-1-9     no    
    18352      2019-1-14    no    
    66385      2016-11-11   yes   
    45292      2016-3-10    yes   
    75231      2017-6-22    no    
    39873      2017-2-25    yes   
    44311      2017-1-19    no    
    40626      2015-5-4     yes   
    42409      2017-9-22    yes   
    58274      2015-4-13    yes   
    23620      2016-10-13   no    
    88180      2016-10-25   no    
    65396      2015-9-2     no    
    89430      2019-4-14    yes   
    87656      2016-10-2    no    
    32158      2020-10-11   no    
    70188      2015-12-25   no    
    20887      2020-11-7    no    
    21261      2017-6-18    yes   
    43178      2020-5-9     no    
